rating,movie,year,country,rating_ball,director,screenwriter,actors
212,Гарри Поттер и Дары Смерти: Часть II ,2011,США,8.092, Дэвид Йейтс, Стивен Кловз  Дж.К. Роулинг,Дэниэл Рэдклифф Руперт Гринт Эмма Уотсон Хелена Бонем Картер Робби Колтрейн
213,Апокалипсис ,2006,США,7.961, Мэл Гибсон, Мэл Гибсон  Фарад Сафиниа,Руди Янгблад Далия Эрнандес Джонатан Брюэр Моррис Бердйеллоухэд Карлос Эмилио Баэс
214,Подмена ,2008,США,7.935, Клинт Иствуд, Дж. Майкл Стражински,Анджелина Джоли Джон Малкович Джеффри Донован Гэттлин Гриффит Майкл Келли
215,Рататуй ,2007,США,7.957, Брэд Бёрд  Ян Пинкава, Брэд Бёрд  Ян Пинкава  Джим Капобьянко ...,Пэттон Освальт Иэн Холм Лу Романо Брайан Деннехи Питер Сон
216,Песнь моря ,2014,Ирландия,8.088, Томм Мур, Уилл Коллинз  Томм Мур,Дэвид Роул Брендан Глисон Лиза Хэннигэн Финола Флэнаган Люси О’Коннелл
217,Ураган ,1999,США,7.960, Норман Джуисон, Эрмиан Бернштейн  Дэн Гордон  Рубин Картер ...,Дензел Вашингтон Виселос Реон Шеннон Дебора Кара Ангер Лив Шрайбер Джон Ханна
218,Медведь ,1988,Франция,7.993, Жан-Жак Анно, Жерар Браш  Джеймс Оливер Кёрвуд,медведь Барт Чеки Карио Джек Уоллес Андре Лакомб
219,Крепкий орешек ,1988,США,8.019, Джон МакТирнан, Джеб Стюарт  Стивен Е. де Соуза  Родерик Торп,Брюс Уиллис Алан Рикман Бонни Беделиа Реджинальд ВелДжонсон Пол Глисон
220,Три идиота ,2009,Индия,8.056, Раджкумар Хирани, Абхиджит Джоши  Раджкумар Хирани  Видху Винод Чопра ...,Аамир Кхан Мадхаван Шарман Джоши Карина Капур Боман Ирани
221,Золотая лихорадка ,1925,США,8.057, Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин Мак Суэйн Том Мюррэй Генри Бергман Малкольм Вейт
222,Убить пересмешника ,1962,США,8.035, Роберт Маллиган, Хортон Фут  Харпер Ли,Грегори Пек Мэри Бэдам Филлип Элфорд Фрэнк Овертон Брок Питерс
223,Аватар ,2009,США,7.939, Джеймс Кэмерон, Джеймс Кэмерон,Сэм Уортингтон Зои Салдана Сигурни Уивер Стивен Лэнг Мишель Родригес
224,Крупная рыба ,2003,США,7.948, Тим Бёртон, Джон Огаст  Дэниэл Уоллес,Юэн Макгрегор Альберт Финни Билли Крудап Джессика Лэнг Хелена Бонем Картер
225,Столкновение ,2004,США,7.882, Пол Хаггис, Пол Хаггис  Роберт Мореско,Дон Чидл Мэтт Диллон Райан Филипп Терренс Ховард Сандра Буллок
226,Завтра была война ,1987,СССР,8.034, Юрий Кара, Борис Васильев,Сергей Никоненко Нина Русланова Вера Алентова Наталья Негода Ирина Чериченко
227,Звёздные войны: Эпизод 5 – Империя наносит ответный удар ,1980,США,8.127, Ирвин Кершнер, Ли Брэкетт  Лоуренс Кэздан  Джордж Лукас,Марк Хэмилл Харрисон Форд Кэрри Фишер Билли Ди Уильямс Энтони Дэниелс
228,Знакомьтесь Джо Блэк ,1998,США,8.031, Мартин Брест, Рон Осборн  Джефф Рино  Кевин Уэйд ...,Брэд Питт Энтони Хопкинс Клэр Форлани Джейк Уэбер Марша Гей Харден
229,Рапунцель: Запутанная история ,2010,США,7.938, Нэйтан Грено  Байрон Ховард, Дэн Фогельман  Якоб Гримм  Вильгельм Гримм,Мэнди Мур Закари Ливай Донна Мерфи Рон Перлман М. К. Гейни
230,Старший сын ,1975,СССР,8.174, Виталий Мельников, Виталий Мельников  Александр Вампилов,Евгений Леонов Николай Караченцов Наталья Егорова Владимир Изотов Михаил Боярский
231,Вверх ,2009,США,7.985, Пит Доктер  Боб Питерсон, Пит Доктер  Боб Питерсон  Том МакКарти,Эдвард Эснер Кристофер Пламмер Джордан Нагаи Боб Питерсон Делрой Линдо
232,Билли Эллиот ,2000,Великобритания,7.917, Стивен Долдри, Ли Холл,Джейми Белл Джули Уолтерс Гари Льюис Джин Хейвуд Джэми Дрэйвен
233,Мулан ,1998,США,8.066, Тони Бэнкрофт  Бэрри Кук, Рита Сяо  Крис Сандерс  Филип ЛаЗебник ...,Эдди Мёрфи Лиа Салонга Мигель Феррер Харви Файерстин Фреда Фо Шен
234,Поющие под дождем ,1952,США,8.047, Стэнли Донен  Джин Келли, Бетти Комден  Адольф Грин,Джин Келли Дональд О’Коннор Дебби Рейнолдс Джин Хэйген Миллард Митчелл
235,Жизнь Пи ,2012,США,7.821, Энг Ли, Дэвид Маги  Янн Мартел,Сурадж Шарма Ирфан Кхан Аюш Тандон Гаутам Белур Адиль Хуссэйн
236,Русалочка ,1989,США,8.204, Рон Клементс  Джон Маскер, Джон Маскер  Рон Клементс  Ганс Кристиан Андерсен ...,Джоди Бенсон Пэт Кэрролл Рене Обержонуа Кристофер Дэниэл Барнс Пэдди Эдвардс
237,Реквием по мечте ,2000,США,7.981, Даррен Аронофски, Хьюберт Селби мл.  Даррен Аронофски,Джаред Лето Марлон Уайанс Дженнифер Коннелли Эллен Бёрстин Кристофер Макдональд
238,Гаттака ,1997,США,7.948, Эндрю Никкол, Эндрю Никкол,Итан Хоук Джуд Лоу Ума Турман Алан Аркин Лорен Дин
239,Догвилль ,2003,Дания,7.934, Ларс фон Триер, Ларс фон Триер,Николь Кидман Пол Беттани Харриет Андерссон Патриша Кларксон Бен Газзара
240,Мужики!.. ,1981,СССР,8.088, Искра Бабич, Искра Бабич  Валентин Михайлов,Александр Михайлов Ирина Иванова Петр Глебов Вера Альховская Михаил Бузылёв-Крэцо
241,Аты-баты шли солдаты... ,1976,СССР,8.107, Леонид Быков, Кирилл Рапопорт  Борис Васильев,Леонид Быков Владимир Конкин Елена Шанина Леонид Бакштаев Евгения Уралова
242,История игрушек: Большой побег ,2010,США,7.806, Ли Анкрич, Майкл Арндт  Джон Лассетер  Эндрю Стэнтон ...,Том Хэнкс Тим Аллен Джоан Кьюсак Нед Битти Дон Риклз
243,Леди и бродяга ,1955,США,8.167, Клайд Джероними  Уилфред Джексон  Хэмильтон Ласки, Джо Грант  Дик Хюмер  Луис Поллок ...,Пегги Ли Ларри Робертс Билл Бауком Верна Фелтон Джордж Гивот
244,Мандарины ,2013,Эстония,8.063, Заза Урушадзе, Заза Урушадзе,Лембит Ульфсак Георгий Накашидзе Элмо Нюганен Миша Месхи Райво Трасс
245,Крамер против Крамера ,1979,США,7.984, Роберт Бентон, Роберт Бентон  Эйвери Кормэн,Дастин Хоффман Мэрил Стрип Джейн Александр Джастин Генри Говард Дафф
246,Пираты Карибского моря: На краю Света ,2007,США,8.007, Гор Вербински, Тед Эллиот  Терри Россио  Стюарт Битти ...,Джонни Депп Джеффри Раш Орландо Блум Кира Найтли Том Холландер
247,Иди и смотри ,1985,СССР,8.077, Элем Климов, Алесь Адамович  Элем Климов,Алексей Кравченко Ольга Миронова Любомирас Лауцявичюс Владас Багдонас Юри Лумисте
248,Профессионал ,1981,Франция,8.112, Жорж Лотнер, Мишель Одиар  Патрик Александер  Жорж Лотнер ...,Жан-Поль Бельмондо Жан Дезайи Сирил Клер Мари-Кристин Декуар Элизабет Маргони
249,Холодное лето пятьдесят третьего... ,1987,СССР,8.050, Александр Прошкин, Эдгар Дубровский,Валерий Приёмыхов Анатолий Папанов Виктор Степанов Нина Усатова Зоя Буряк
